point,type,x,y,vel
1,START,0.0,0.0,20
2,INTERMEDIATE,0.0,1.03,20
3,INTERMEDIATE,0.0,2.05,20
4,INTERMEDIATE,0.0,3.08,20
5,INTERMEDIATE,0.0,4.11,20
6,INTERMEDIATE,0.0,5.14,20
7,INTERMEDIATE,0.0,6.16,20
8,INTERMEDIATE,0.0,7.19,20
9,INTERMEDIATE,0.0,8.22,20
10,INTERMEDIATE,0.0,9.25,20
11,INTERMEDIATE,0.0,10.27,20
12,INTERMEDIATE,0.0,11.3,20
13,INTERMEDIATE,0.0,12.33,20
14,INTERMEDIATE,0.0,13.36,20
15,INTERMEDIATE,0.0,14.38,20
16,INTERMEDIATE,0.0,15.41,20
17,INTERMEDIATE,0.0,16.44,20
18,INTERMEDIATE,0.0,17.47,20
19,INTERMEDIATE,0.0,18.49,20
20,INTERMEDIATE,0.0,19.52,20
21,INTERMEDIATE,0.0,20.55,20
22,INTERMEDIATE,0.0,21.58,20
23,INTERMEDIATE,0.0,22.6,20
24,INTERMEDIATE,0.0,23.63,20
25,INTERMEDIATE,0.0,24.66,20
26,INTERMEDIATE,0.0,25.68,20
27,INTERMEDIATE,0.0,26.71,20
28,INTERMEDIATE,0.0,27.74,20
29,INTERMEDIATE,0.0,28.77,20
30,INTERMEDIATE,0.0,29.79,20
31,INTERMEDIATE,0.0,30.82,20
32,INTERMEDIATE,0.0,31.85,20
33,INTERMEDIATE,0.0,32.88,20
34,INTERMEDIATE,0.0,33.9,20
35,INTERMEDIATE,0.0,34.93,20
36,INTERMEDIATE,0.0,35.96,20
37,INTERMEDIATE,0.0,36.99,20
38,INTERMEDIATE,0.0,38.01,20
39,INTERMEDIATE,0.0,39.04,20
40,INTERMEDIATE,0.0,40.07,20
41,INTERMEDIATE,0.0,41.1,20
42,INTERMEDIATE,0.0,42.12,20
43,INTERMEDIATE,0.0,43.15,20
44,INTERMEDIATE,0.0,44.18,20
45,INTERMEDIATE,0.0,45.21,20
46,INTERMEDIATE,0.0,46.23,20
47,INTERMEDIATE,0.0,47.26,20
48,INTERMEDIATE,0.0,48.29,20
49,INTERMEDIATE,0.0,49.32,20
50,INTERMEDIATE,0.0,50.34,20
51,INTERMEDIATE,0.0,51.37,20
52,INTERMEDIATE,0.0,52.4,20
53,INTERMEDIATE,0.0,53.42,20
54,INTERMEDIATE,0.0,54.45,20
55,INTERMEDIATE,0.0,55.48,20
56,INTERMEDIATE,0.0,56.51,20
57,INTERMEDIATE,0.0,57.53,20
58,INTERMEDIATE,0.0,58.56,20
59,INTERMEDIATE,0.0,59.59,20
60,INTERMEDIATE,0.0,60.62,20
61,INTERMEDIATE,0.0,61.64,20
62,INTERMEDIATE,0.0,62.67,20
63,INTERMEDIATE,0.0,63.7,20
64,INTERMEDIATE,0.0,64.73,20
65,INTERMEDIATE,0.0,65.75,20
66,INTERMEDIATE,0.0,66.78,20
67,INTERMEDIATE,0.0,67.81,20
68,INTERMEDIATE,0.0,68.84,20
69,INTERMEDIATE,0.0,69.86,20
70,INTERMEDIATE,0.0,70.89,20
71,INTERMEDIATE,0.0,71.92,20
72,INTERMEDIATE,0.0,72.95,20
73,INTERMEDIATE,0.0,73.97,20
74,FINISH,0.0,75.0,0
