point,type,x,y,vel
1,START,0.0,0.0,20
2,INTERMEDIATE,0.07,1.06,20
3,INTERMEDIATE,0.27,2.1,20
4,INTERMEDIATE,0.6,3.11,20
5,INTERMEDIATE,1.06,4.07,20
6,INTERMEDIATE,1.63,4.97,20
7,INTERMEDIATE,2.31,5.78,20
8,INTERMEDIATE,3.09,6.5,20
9,INTERMEDIATE,3.96,7.12,20
10,INTERMEDIATE,4.9,7.62,20
11,INTERMEDIATE,5.89,8.0,20
12,INTERMEDIATE,6.92,8.25,20
13,INTERMEDIATE,7.98,8.37,20
14,INTERMEDIATE,9.04,8.35,20
15,INTERMEDIATE,10.09,8.2,20
16,INTERMEDIATE,11.11,7.91,20
17,INTERMEDIATE,12.09,7.5,20
18,INTERMEDIATE,13.01,6.97,20
19,INTERMEDIATE,13.86,6.33,20
20,INTERMEDIATE,14.62,5.58,20
21,INTERMEDIATE,15.27,4.75,20
22,INTERMEDIATE,15.82,3.84,20
23,INTERMEDIATE,16.24,2.86,20
24,INTERMEDIATE,16.54,1.85,20
25,INTERMEDIATE,16.71,0.8,20
26,INTERMEDIATE,16.75,-0.27,20
27,INTERMEDIATE,16.64,-1.32,20
28,INTERMEDIATE,16.41,-2.36,20
29,INTERMEDIATE,16.05,-3.36,20
30,INTERMEDIATE,15.56,-4.3,20
31,INTERMEDIATE,14.96,-5.18,20
32,INTERMEDIATE,14.25,-5.97,20
33,INTERMEDIATE,13.45,-6.66,20
34,INTERMEDIATE,12.56,-7.25,20
35,INTERMEDIATE,11.61,-7.72,20
36,INTERMEDIATE,10.61,-8.07,20
37,INTERMEDIATE,9.57,-8.29,20
38,INTERMEDIATE,8.51,-8.37,20
39,INTERMEDIATE,7.45,-8.32,20
40,INTERMEDIATE,6.4,-8.14,20
41,INTERMEDIATE,5.39,-7.82,20
42,INTERMEDIATE,4.42,-7.38,20
43,INTERMEDIATE,3.52,-6.82,20
44,INTERMEDIATE,2.69,-6.15,20
45,INTERMEDIATE,1.96,-5.38,20
46,INTERMEDIATE,1.33,-4.53,20
47,INTERMEDIATE,0.81,-3.6,20
48,INTERMEDIATE,0.42,-2.61,20
49,INTERMEDIATE,0.15,-1.58,20
50,INTERMEDIATE,0.02,-0.53,20
51,INTERMEDIATE,0.02,0.53,20
52,INTERMEDIATE,0.15,1.58,20
53,INTERMEDIATE,0.42,2.61,20
54,INTERMEDIATE,0.81,3.6,20
55,INTERMEDIATE,1.33,4.53,20
56,INTERMEDIATE,1.96,5.38,20
57,INTERMEDIATE,2.69,6.15,20
58,INTERMEDIATE,3.52,6.82,20
59,INTERMEDIATE,4.42,7.38,20
60,INTERMEDIATE,5.39,7.82,20
61,INTERMEDIATE,6.4,8.14,20
62,INTERMEDIATE,7.45,8.32,20
63,INTERMEDIATE,8.51,8.37,20
64,INTERMEDIATE,9.57,8.29,20
65,INTERMEDIATE,10.61,8.07,20
66,INTERMEDIATE,11.61,7.72,20
67,INTERMEDIATE,12.56,7.25,20
68,INTERMEDIATE,13.45,6.66,20
69,INTERMEDIATE,14.25,5.97,20
70,INTERMEDIATE,14.96,5.18,20
71,INTERMEDIATE,15.56,4.3,20
72,INTERMEDIATE,16.05,3.36,20
73,INTERMEDIATE,16.41,2.36,20
74,INTERMEDIATE,16.64,1.32,20
75,INTERMEDIATE,16.75,0.27,20
76,INTERMEDIATE,16.71,-0.8,20
77,INTERMEDIATE,16.54,-1.85,20
78,INTERMEDIATE,16.24,-2.86,20
79,INTERMEDIATE,15.82,-3.84,20
80,INTERMEDIATE,15.27,-4.75,20
81,INTERMEDIATE,14.62,-5.58,20
82,INTERMEDIATE,13.86,-6.33,20
83,INTERMEDIATE,13.01,-6.97,20
84,INTERMEDIATE,12.09,-7.5,20
85,INTERMEDIATE,11.11,-7.91,20
86,INTERMEDIATE,10.09,-8.2,20
87,INTERMEDIATE,9.04,-8.35,20
88,INTERMEDIATE,7.98,-8.37,20
89,INTERMEDIATE,6.92,-8.25,20
90,INTERMEDIATE,5.89,-8.0,20
91,INTERMEDIATE,4.9,-7.62,20
92,INTERMEDIATE,3.96,-7.12,20
93,INTERMEDIATE,3.09,-6.5,20
94,INTERMEDIATE,2.31,-5.78,20
95,INTERMEDIATE,1.63,-4.97,20
96,INTERMEDIATE,1.06,-4.07,20
97,INTERMEDIATE,0.6,-3.11,20
98,INTERMEDIATE,0.27,-2.1,20
99,INTERMEDIATE,0.07,-1.06,20
100,INTERMEDIATE,0.0,-0.0,20
101,INTERMEDIATE,0.0,0.0,20
102,INTERMEDIATE,-0.07,1.06,20
103,INTERMEDIATE,-0.27,2.1,20
104,INTERMEDIATE,-0.6,3.11,20
105,INTERMEDIATE,-1.06,4.07,20
106,INTERMEDIATE,-1.63,4.97,20
107,INTERMEDIATE,-2.31,5.78,20
108,INTERMEDIATE,-3.09,6.5,20
109,INTERMEDIATE,-3.96,7.12,20
110,INTERMEDIATE,-4.9,7.62,20
111,INTERMEDIATE,-5.89,8.0,20
112,INTERMEDIATE,-6.92,8.25,20
113,INTERMEDIATE,-7.98,8.37,20
114,INTERMEDIATE,-9.04,8.35,20
115,INTERMEDIATE,-10.09,8.2,20
116,INTERMEDIATE,-11.11,7.91,20
117,INTERMEDIATE,-12.09,7.5,20
118,INTERMEDIATE,-13.01,6.97,20
119,INTERMEDIATE,-13.86,6.33,20
120,INTERMEDIATE,-14.62,5.58,20
121,INTERMEDIATE,-15.27,4.75,20
122,INTERMEDIATE,-15.82,3.84,20
123,INTERMEDIATE,-16.24,2.86,20
124,INTERMEDIATE,-16.54,1.85,20
125,INTERMEDIATE,-16.71,0.8,20
126,INTERMEDIATE,-16.75,-0.27,20
127,INTERMEDIATE,-16.64,-1.32,20
128,INTERMEDIATE,-16.41,-2.36,20
129,INTERMEDIATE,-16.05,-3.36,20
130,INTERMEDIATE,-15.56,-4.3,20
131,INTERMEDIATE,-14.96,-5.18,20
132,INTERMEDIATE,-14.25,-5.97,20
133,INTERMEDIATE,-13.45,-6.66,20
134,INTERMEDIATE,-12.56,-7.25,20
135,INTERMEDIATE,-11.61,-7.72,20
136,INTERMEDIATE,-10.61,-8.07,20
137,INTERMEDIATE,-9.57,-8.29,20
138,INTERMEDIATE,-8.51,-8.37,20
139,INTERMEDIATE,-7.45,-8.32,20
